% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
0.0010600000000000002,0.0025,0.0013122017452088645-1.5415256955013932E-4i
0.0010700000000000002,0.0025,0.001331288044994176-1.5163352663311708E-4i
0.00108,0.0025,0.0013499300279820382-1.491891295081649E-4i
0.00109,0.0025,0.001368127750631504-1.4681671490732732E-4i
0.0011,0.0025,0.0013858861993131816-1.4451226924184175E-4i
0.00111,0.0025,0.0014032099322328591-1.4227284619409308E-4i
0.0011200000000000001,0.0025,0.001420106710064819-1.4009785465622987E-4i
0.0011300000000000001,0.0025,0.0014365883813883449-1.3797914264315173E-4i
0.0011400000000000002,0.0025,0.0014526512433380868-1.3591926861665707E-4i
0.0011500000000000002,0.0025,0.0014683027034406886-1.3391349607525587E-4i
0.0011600000000000002,0.0025,0.0014835493487709273-1.3196029967941323E-4i
0.00117,0.0025,0.0014983984161904813-1.3005694856444255E-4i
0.0011800000000000003,0.0025,0.0015128519863956368-1.2820228368700512E-4i
0.00119,0.0025,0.0015269197080501993-1.2639326383305353E-4i
0.0012000000000000001,0.0025,0.0015406046436000037-1.246288683299261E-4i
0.0012100000000000001,0.0025,0.0015539116696789575-1.2290650595896753E-4i
0.0012200000000000002,0.0025,0.001566847618377234-1.212260776510074E-4i
0.0012300000000000002,0.0025,0.0015794210516611618-1.1958367290047676E-4i
0.0012400000000000002,0.0025,0.0015916286054231548-1.1798074909442278E-4i
0.0012500000000000002,0.0025,0.0016034804357373017-1.1641336990927258E-4i
0.0012600000000000003,0.0025,0.0016149841826135832-1.1488108887489411E-4i
0.00127,0.0025,0.0016261397995800944-1.1338334186565664E-4i
0.00128,0.0025,0.0016369554439397038-1.1191847036077603E-4i
0.0012900000000000001,0.0025,0.001647437195354633-1.1048443260896834E-4i
0.0013000000000000002,0.0025,0.0016575897574510978-1.090810139507211E-4i
0.0013100000000000002,0.0025,0.0016674162382265371-1.0770726443712941E-4i
0.0013200000000000002,0.0025,0.0016769210072766977-1.0636208784968966E-4i
0.0013300000000000002,0.0025,0.0016861153871600635-1.0504364771608242E-4i
0.0013400000000000003,0.0025,0.001694998922375494-1.037519123187191E-4i
0.0013500000000000003,0.0025,0.001703574716152481-1.0248594207247859E-4i
0.00136,0.0025,0.001711851403268901-1.0124481844155371E-4i
0.0013700000000000001,0.0025,0.0017198323695952315-1.0002742171975976E-4i
0.0013800000000000002,0.0025,0.0017275194232132677-9.883343046342113E-5i
0.0013900000000000002,0.0025,0.0017349231278676717-9.766169689447815E-5i
0.0014000000000000002,0.0025,0.001742045934593312-9.651177071269241E-5i
0.0014100000000000002,0.0025,0.001748891832671168-9.538258573893215E-5i
0.0014200000000000003,0.0025,0.0017554632783749974-9.427427083203029E-5i
0.0014300000000000003,0.0025,0.0017617658987792242-9.318579198860654E-5i
0.00144,0.0025,0.0017678088706652197-9.211610630098719E-5i
0.0014500000000000001,0.0025,0.0017735924546674648-9.10649817329752E-5i
0.0014600000000000001,0.0025,0.00177912113128084-9.003223817263683E-5i
0.0014700000000000002,0.0025,0.0017844011520990514-8.901663975308382E-5i
0.0014800000000000002,0.0025,0.0017894314346458215-8.801845449444988E-5i
0.0014900000000000002,0.0025,0.0017942187588268729-8.703676831715867E-5i
0.0015000000000000002,0.0025,0.001798772780054068-8.607087565759585E-5i
2.0E-4,0.00251,8.822155560032406E-5-7.342899024318545E-5i
2.1E-4,0.00251,-1.1893737433137E7-1.3242877004234424E7i
2.2E-4,0.00251,-1.2669550613478748E7-1.3351075029943133E7i
2.3E-4,0.00251,-1.3377340601554792E7-1.3515069939578936E7i
2.4E-4,0.00251,-1.4023921510702722E7-1.3731850676819263E7i
2.5E-4,0.00251,-1.464014611799879E7-1.398599415354735E7i
2.6000000000000003E-4,0.00251,-1.5228255440276943E7-1.4275352164110562E7i
2.7E-4,0.00251,-1.5794870094529891E7-1.459607317627912E7i
2.8000000000000003E-4,0.00251,-1.6350456132393278E7-1.4940280933624104E7i
